player_name,school,conference,position,height,height_inches,weight,class,season_year,games,minutes,minutes_pct,ppg,rpg,apg,usage_rate,ts_pct,three_pt_pct,three_pt_attempt_rate,ft_pct,off_rebound_rate,def_rebound_rate,assist_rate,turnover_rate,steal_rate,block_rate,offensive_rating,defensive_rating,bpm,vorp,previous_bpm,conf_strength,conf_strength_from,conf_strength_to,conf_upgrade,future_bpm,future_impact_score,transfer_success,transferred,school_destination,data_year,public_transfer_rank
Uriah Scott,Tennessee Tech,A-10,SF,6-5,77,228,R-JR,2024,32,319.65032526863916,24.972681661612437,11.9,3.3,1.0,22.3,0.549,0.324,0.715,0.593,4.9,13.4,8.6,12.8,0.76,1.16,122.8,99.6,3.34,0.53,3.34,0.86,0.86,0.86,0.0,0.8,54.8,1,1,Illinois,2024,521
Cade Morgan,Indiana,AAC,SF,6-6,78,176,R-SO,2023,28,365.94775608537674,32.67390679333721,1.0,4.3,1.3,16.8,0.55,0.499,0.404,0.683,7.6,16.4,10.6,7.2,1.87,1.78,105.1,98.5,-0.92,-0.17,-0.92,0.83,0.83,0.72,-0.11,0.79,54.8,1,1,Houston,2023,522
Nick Williams,Georgetown,MAC,PF,6-9,81,201,R-FR,2020,33,170.1383070602716,12.88926568638421,5.4,5.3,0.8,18.0,0.588,0.408,0.32,0.7,7.3,21.9,6.4,17.1,1.64,10.66,114.1,91.0,2.36,0.2,2.36,0.76,0.76,0.83,0.07,0.79,54.8,1,1,Pittsburgh,2020,523
Darius Moore,Hofstra,OVC,C,6-11,83,228,FR,2024,32,365.8895022785971,28.585117365515398,11.1,5.6,1.0,24.8,0.525,0.312,0.271,0.802,7.4,23.5,8.4,7.1,1.87,2.69,113.5,97.5,-0.31,-0.06,-0.31,0.69,0.69,0.74,0.05,0.78,54.7,1,1,Cincinnati,2024,524
Sean Murphy,Creighton,ACC,SG,6-3,75,187,R-FR,2021,21,184.78946330252083,21.99874563125248,9.9,2.5,2.5,25.9,0.484,0.34,0.269,0.811,1.6,12.3,21.0,14.2,0.7,3.79,112.8,96.3,0.78,0.07,0.78,0.94,0.94,0.71,-0.23,0.78,54.7,1,1,Purdue,2021,525
Tanner Carter,Creighton,WCC,PF,6-10,82,206,FR,2022,35,437.5743911757513,31.255313655410813,1.0,4.8,0.6,16.1,0.517,0.382,0.222,0.711,8.2,18.4,5.3,11.5,1.91,5.21,118.7,104.1,-0.57,-0.13,-0.57,0.82,0.82,1.0,0.18,0.78,54.7,1,1,Oregon,2022,526
Zach Lee,Houston,AAC,C,6-9,81,227,JR,2024,31,333.01808810248525,26.85629742761978,2.2,5.2,1.1,20.2,0.557,0.304,0.099,0.808,17.9,10.7,9.3,11.0,2.65,0.47,102.7,109.0,2.83,0.47,2.83,0.83,0.83,1.0,0.17,0.77,54.6,1,1,St. John's,2024,527
Sam Cooper,Cincinnati,Sun Belt,C,6-10,82,177,R-JR,2021,28,311.7416149175886,27.834072760498987,7.9,3.3,1.2,21.5,0.588,0.291,0.284,0.818,3.8,14.7,9.8,12.0,1.58,0.3,109.5,101.4,2.78,0.43,2.78,0.72,0.72,0.98,0.26,0.77,54.6,1,1,Belmont,2021,528
Cade Turner,St. Bonaventure,OVC,PG,6-0,72,238,JR,2022,33,357.8101639417616,27.106830601648603,7.3,2.5,3.3,27.1,0.571,0.355,0.583,0.663,2.2,11.6,27.9,16.5,1.15,1.3,105.9,109.6,1.93,0.35,1.93,0.69,0.69,1.0,0.31,0.77,54.6,1,1,Nevada,2022,529
Kofi Walker,Villanova,OVC,PF,6-8,80,224,R-SO,2022,30,514.0144157781226,42.834534648176884,6.9,2.1,1.4,13.9,0.533,0.475,0.205,0.654,3.8,7.9,11.8,9.1,1.93,2.99,115.0,101.6,-0.17,-0.04,-0.17,0.69,0.69,0.71,0.02,0.76,54.5,1,1,Oregon,2022,530
Ryan Collins,Arizona,AAC,G,6-5,77,194,R-FR,2021,31,884.1653621152407,71.30365823510006,4.7,2.2,2.5,18.5,0.577,0.28,0.333,0.764,3.1,9.2,20.5,16.1,2.02,2.22,118.3,92.6,0.92,0.41,0.92,0.83,0.83,0.76,-0.07,0.76,54.5,1,1,Duke,2021,531
Cameron Young,Hofstra,Big 12,PF,6-8,80,232,R-JR,2023,37,459.56430296122755,31.051642091974834,7.8,4.5,0.2,23.4,0.545,0.236,0.332,0.75,13.8,11.2,1.0,12.3,2.92,6.89,111.5,111.2,-0.66,-0.15,-0.66,0.98,0.98,0.74,-0.24,0.76,54.6,1,1,UNLV,2023,532
Wade Carter,Fordham,MVC,G,6-3,75,193,JR,2021,25,80.0,8.0,10.3,1.5,1.8,22.2,0.434,0.292,0.112,0.778,1.6,6.7,15.2,23.7,2.47,0.89,93.4,113.9,1.7,0.07,1.7,0.79,0.79,0.93,0.14,0.76,54.6,1,1,Indiana,2021,533
DeShawn Allen,Ohio State,Big East,C,6-7,79,201,JR,2022,35,529.4146218304026,37.815330130743035,7.6,7.3,0.8,10.0,0.552,0.235,0.285,0.664,13.5,27.3,6.6,8.4,1.84,3.45,123.3,92.1,1.26,0.33,1.26,0.93,0.93,0.71,-0.22,0.76,54.6,1,1,Seton Hall,2022,534
Andrej Rogers,James Madison,Big 12,C,6-9,81,209,R-JR,2021,22,70.4,8.0,11.5,5.0,0.9,25.8,0.6,0.353,0.386,0.532,8.3,19.2,7.5,5.5,3.08,6.04,107.0,103.2,1.03,0.04,1.03,0.98,0.98,0.74,-0.24,0.75,54.5,1,1,DePaul,2021,535
Ryan Hall,Ohio State,CUSA,PF,6-10,82,225,R-JR,2021,35,334.0956663174452,23.8639761655318,4.1,5.4,0.5,10.3,0.495,0.261,0.187,0.405,12.7,17.5,4.4,8.6,2.96,6.71,104.7,90.9,-1.26,-0.21,-1.26,0.74,0.74,0.71,-0.03,0.75,54.5,1,1,Boston College,2021,536
Jaylen Thomas,Clemson,Big 12,SG,6-2,74,193,R-JR,2020,24,408.5476841961324,42.557050437097125,5.5,2.5,1.4,19.2,0.476,0.369,0.388,0.671,4.1,9.8,11.7,9.8,2.02,0.88,103.3,102.6,0.64,0.13,0.64,0.98,0.98,0.94,-0.04,0.75,54.5,1,1,UCLA,2020,537
Eric Martin,Dayton,Horizon,C,6-8,80,227,JR,2023,26,223.91996910187055,21.530766259795243,10.8,5.3,0.8,23.4,0.524,0.32,0.029,0.769,11.2,18.4,6.5,13.0,1.92,4.38,110.7,93.9,-0.35,-0.04,-0.35,0.71,0.71,0.71,0.0,0.75,54.5,1,1,Butler,2023,538
Kofi Parker,Illinois,Big Ten,PF,6-8,80,181,R-JR,2023,15,326.49021139556737,54.41503523259457,6.7,4.7,1.0,20.1,0.542,0.138,0.178,0.589,6.7,19.5,8.5,13.2,2.36,10.39,112.9,98.7,0.57,0.09,0.57,1.0,1.0,0.74,-0.26,0.74,54.5,1,1,Belmont,2023,539
Elijah Jackson,Creighton,CUSA,G,6-3,75,210,FR,2020,29,246.92199604957187,21.28637896979068,6.8,3.1,3.4,20.5,0.434,0.303,0.285,0.885,4.6,12.4,28.0,20.0,3.67,1.83,113.6,107.4,-0.17,-0.02,-0.17,0.74,0.74,0.82,0.08,0.74,54.4,1,1,Illinois,2020,540
Elijah Parker,Illinois,WAC,F,6-7,79,238,JR,2023,37,249.66631108837632,16.86934534380921,9.2,5.0,1.5,19.0,0.539,0.356,0.232,0.731,6.4,21.5,12.8,9.9,0.31,2.45,115.8,104.3,-0.27,-0.03,-0.27,0.7,0.7,0.79,0.09,0.74,54.4,1,1,LSU,2023,541
Jalen Brown,Vanderbilt,MVC,C,6-10,82,215,SR,2021,25,648.9694139117308,64.89694139117309,11.0,6.5,1.1,21.4,0.55,0.389,0.37,0.606,7.3,28.6,9.4,14.8,1.13,3.89,105.3,104.4,1.89,0.61,1.89,0.79,0.79,0.71,-0.08,0.72,54.3,1,1,Notre Dame,2021,542
Cade Stewart,Clemson,A-10,SF,6-6,78,192,FR,2023,25,307.0775724514315,30.70775724514315,5.2,2.9,0.9,20.0,0.492,0.242,0.337,0.639,2.3,14.0,7.6,16.2,3.08,1.39,118.6,112.5,-0.78,-0.12,-0.78,0.86,0.86,0.7,-0.16,0.72,54.3,1,1,Baylor,2023,543
Vince Harris,Tennessee,Horizon,PF,6-7,79,217,R-JR,2024,21,240.05412151686144,28.577871609150172,7.4,3.5,0.2,25.8,0.601,0.283,0.018,0.838,7.2,12.5,2.0,9.7,0.75,2.94,118.0,96.9,0.75,0.09,0.75,0.71,0.71,0.72,0.01,0.71,54.3,1,1,Xavier,2024,544
Andrej Bell,Providence,MAAC,C,6-10,82,214,R-FR,2023,35,162.6677221114873,11.619123007963378,5.8,3.2,1.2,16.2,0.537,0.273,0.182,0.766,3.7,13.8,10.1,11.7,2.77,1.43,113.6,105.6,-0.45,-0.04,-0.45,0.74,0.74,0.93,0.19,0.71,54.2,1,1,Iowa State,2023,545
Nathan Phillips,Vanderbilt,MAAC,PF,6-8,80,215,JR,2022,24,447.3869154052859,46.60280368805062,8.6,3.1,0.9,22.2,0.531,0.328,0.205,0.598,8.0,9.0,7.5,13.8,3.07,2.6,126.0,89.1,-0.31,-0.07,-0.31,0.74,0.74,0.76,0.02,0.71,54.2,1,1,Houston,2022,546
Mike Anderson,Michigan,Sun Belt,G,6-4,76,218,R-FR,2023,28,364.43774629879647,32.53908449096397,7.5,2.7,2.3,29.9,0.511,0.323,0.317,0.806,2.7,12.2,19.1,18.9,3.99,1.0,118.0,89.8,0.78,0.14,0.78,0.72,0.72,0.74,0.02,0.71,54.3,1,1,Tulsa,2023,547
Omar Wright,Davidson,Big 12,SF,6-5,77,177,FR,2023,27,203.7769542569832,18.868236505276222,5.5,2.8,2.4,19.9,0.521,0.243,0.195,0.772,8.7,6.7,20.1,5.0,2.46,1.16,113.2,89.9,0.53,0.05,0.53,0.98,0.98,0.72,-0.26,0.71,54.2,1,1,Ohio State,2023,548
Ryan Murphy,Houston,AAC,PG,6-3,75,173,R-JR,2022,23,168.1129482968007,18.27314655400008,5.5,2.6,3.4,22.2,0.557,0.36,0.422,0.704,3.5,10.8,28.4,17.5,3.59,1.73,116.2,100.4,0.65,0.05,0.65,0.83,0.83,0.82,-0.01,0.71,54.2,1,1,Memphis,2022,549
Jaylen Hill,Oklahoma,Big 12,G,6-5,77,175,R-JR,2023,29,797.0611953933999,68.71217201667241,7.5,2.0,3.3,21.2,0.478,0.397,0.129,0.512,0.8,10.3,27.7,20.2,3.31,1.32,107.4,100.4,2.46,0.98,2.46,0.98,0.98,0.98,0.0,0.7,54.2,1,1,Penn State,2023,550
Max Reed,Vanderbilt,CAA,G,6-4,76,199,JR,2020,23,302.6360453946414,32.895222325504506,6.3,2.7,2.7,15.7,0.511,0.26,0.134,0.709,4.1,10.9,22.2,25.1,1.66,2.32,106.3,94.6,0.49,0.07,0.49,0.77,0.77,0.77,0.0,0.69,54.2,1,1,Michigan,2020,551
Tyler Sanchez,Vanderbilt,ACC,F,6-7,79,228,SR,2024,19,341.24970995858143,44.901277626129136,5.3,3.3,1.4,13.3,0.563,0.316,0.338,0.78,2.8,15.8,11.9,14.4,2.48,0.1,120.8,106.5,-0.29,-0.05,-0.29,0.94,0.94,0.74,-0.2,0.69,54.1,1,1,TCU,2024,552
Elijah Lopez,William & Mary,AAC,F,6-7,79,215,R-FR,2023,28,255.86785897668926,22.84534455149011,11.1,6.1,0.2,20.6,0.551,0.31,0.154,0.735,5.9,27.9,1.0,14.0,2.52,1.87,101.6,88.6,0.72,0.09,0.72,0.83,0.83,0.82,-0.01,0.68,54.1,1,1,North Carolina,2023,553
Henry Cooper,Villanova,Big 12,F,6-9,81,178,R-JR,2023,23,273.41112559953905,29.71860060864555,8.3,5.9,1.7,18.8,0.53,0.268,0.108,0.783,9.4,23.2,14.3,13.6,1.69,2.54,114.3,113.7,0.67,0.09,0.67,0.98,0.98,0.74,-0.24,0.68,54.1,1,1,Michigan,2023,554
Cameron Perez,St. Bonaventure,Horizon,G,6-4,76,185,R-JR,2023,24,76.8,8.0,8.2,1.6,3.1,18.5,0.565,0.364,0.321,0.717,2.6,6.1,26.0,25.7,2.58,1.6,104.5,104.8,-1.44,-0.06,-1.44,0.71,0.71,1.0,0.29,0.68,54.1,1,1,Air Force,2023,555
Jordan King,Florida State,WCC,F,6-8,80,211,R-JR,2024,28,332.0070087343931,29.643482922713673,9.8,5.4,1.7,20.2,0.46,0.225,0.198,0.67,6.0,24.0,14.1,13.7,0.4,0.44,101.1,110.0,1.2,0.2,1.2,0.82,0.82,0.76,-0.06,0.66,54.0,1,1,Xavier,2024,556
Kofi Green,Virginia,Ivy,C,6-7,79,186,R-JR,2020,25,100.06051020009117,10.006051020009117,8.9,5.0,2.1,14.3,0.564,0.135,0.369,0.777,9.8,17.8,17.4,13.1,2.29,4.06,114.8,94.8,2.16,0.11,2.16,0.71,0.71,0.72,0.01,0.66,54.0,1,1,Tulsa,2020,557
Patrick King,Vanderbilt,AAC,W,6-4,76,228,JR,2020,25,437.0446781640874,43.70446781640874,11.4,5.0,1.2,24.8,0.473,0.38,0.45,0.842,10.7,16.9,10.3,17.3,2.31,0.94,103.5,100.3,0.79,0.17,0.79,0.83,0.83,0.82,-0.01,0.66,53.9,1,1,Boston College,2020,558
Grant Wilson,Davidson,Big Ten,C,7-0,84,198,R-JR,2024,33,708.682433587286,53.68806315055198,7.0,6.4,0.9,17.9,0.573,0.278,0.137,0.564,13.7,21.7,7.6,16.6,1.57,0.3,119.5,90.3,0.01,0.0,0.01,1.0,1.0,0.86,-0.14,0.66,54.0,1,1,Stanford,2024,559
Sam Clark,Xavier,WAC,SF,6-5,77,203,R-JR,2020,28,430.1650994620332,38.40759816625297,3.0,2.7,2.4,21.0,0.536,0.316,0.513,0.467,7.0,7.9,19.8,6.7,1.67,1.9,109.6,94.9,1.64,0.35,1.64,0.7,0.7,0.74,0.04,0.65,53.9,1,1,San Diego State,2020,560
Coleman Robinson,Hofstra,OVC,G,6-3,75,225,R-FR,2020,29,387.9449289515802,33.44352835789485,3.4,2.3,2.2,15.8,0.555,0.381,0.232,0.776,0.3,12.7,18.3,21.0,2.88,0.23,117.8,95.9,-1.76,-0.34,-1.76,0.69,0.69,0.77,0.08,0.65,53.9,1,1,Nebraska,2020,561
Sean Morris,Murray State,Sun Belt,SF,6-8,80,157,R-FR,2023,30,261.08946318268687,21.757455265223903,11.0,2.3,1.4,24.6,0.543,0.335,0.2,0.8,3.7,9.0,11.3,7.0,1.98,2.12,107.4,107.1,1.5,0.2,1.5,0.72,0.72,0.74,0.02,0.65,53.9,1,1,UCLA,2023,562
Vince Bailey,Air Force,MAC,PG,6-2,74,190,JR,2023,22,394.51558375418296,44.83131633570261,2.6,2.0,2.0,14.8,0.491,0.35,0.184,0.783,1.7,9.5,16.8,22.0,3.39,2.26,102.8,107.7,-0.45,-0.09,-0.45,0.76,0.76,0.79,0.03,0.65,53.9,1,1,Notre Dame,2023,563
Xavier Perez,William & Mary,Big 12,W,6-6,78,177,R-SO,2023,32,264.62603457070287,20.67390895083616,5.1,2.7,1.9,19.9,0.509,0.33,0.321,0.628,1.3,13.5,15.5,18.6,2.6,1.05,108.9,101.5,1.04,0.14,1.04,0.98,0.98,0.71,-0.27,0.65,53.9,1,1,UCLA,2023,564
Nick Taylor,Belmont,MVC,PF,6-7,79,168,R-FR,2022,22,70.4,8.0,9.3,3.6,1.7,21.3,0.593,0.321,0.481,0.791,8.3,11.5,13.8,16.3,2.33,9.14,114.1,99.2,2.25,0.08,2.25,0.79,0.79,0.82,0.03,0.64,53.8,1,1,Michigan,2022,565
Ryan Hernandez,Notre Dame,Big East,PG,6-1,73,214,R-SO,2023,33,708.8854283069805,53.70344153840762,8.1,2.1,2.9,19.6,0.576,0.263,0.577,0.768,5.0,6.6,24.5,18.3,1.56,0.1,108.9,93.6,2.33,0.83,2.33,0.93,0.93,0.83,-0.1,0.63,53.8,1,1,Wichita State,2023,566
Damian Morgan,Kentucky,ACC,SG,6-5,77,216,R-FR,2024,24,284.0363472707872,29.587119507373664,5.2,2.6,0.7,14.4,0.496,0.355,0.05,0.648,3.9,10.6,5.9,16.3,1.06,1.12,116.1,92.4,0.62,0.09,0.62,0.94,0.94,0.79,-0.15,0.63,53.8,1,1,Richmond,2024,567
Nick Johnson,Virginia,CUSA,G,6-3,75,201,R-JR,2022,28,428.8500451980585,38.290182606969516,6.8,2.3,3.1,14.2,0.589,0.236,0.434,0.775,2.9,10.0,25.7,10.6,2.48,2.82,113.2,91.2,-0.84,-0.18,-0.84,0.74,0.74,0.82,0.08,0.63,53.8,1,1,Iowa,2022,568
Darius Martinez,Northwestern,MAC,PG,6-2,74,239,R-FR,2022,26,83.2,8.0,7.0,2.0,1.6,22.3,0.588,0.446,0.407,0.92,2.8,8.1,13.0,23.6,1.7,0.85,122.0,105.9,1.61,0.07,1.61,0.76,0.76,1.0,0.24,0.62,53.7,1,1,Rutgers,2022,569
Ben Green,Nebraska,CAA,G,6-0,72,218,R-FR,2020,30,139.82450003246126,11.652041669371773,7.7,3.0,1.9,16.3,0.617,0.322,0.139,0.689,2.7,13.9,15.5,22.8,2.5,3.73,113.7,98.6,1.42,0.1,1.42,0.77,0.77,0.98,0.21,0.62,53.7,1,1,Marquette,2020,570
Zach Young,Connecticut,CAA,SG,6-3,75,218,R-JR,2022,23,94.90741654479842,10.31602353747809,6.1,1.4,1.5,20.4,0.562,0.343,0.533,0.629,1.7,6.1,12.3,19.4,0.5,0.31,100.3,107.3,-2.12,-0.1,-2.12,0.77,0.77,0.74,-0.03,0.62,53.7,1,1,Gonzaga,2022,571
Cameron Sanchez,Richmond,CAA,C,6-11,83,209,R-JR,2024,35,311.16123310308234,22.22580236450588,1.0,4.6,1.6,16.5,0.55,0.214,0.185,0.591,6.2,19.6,13.6,14.1,0.2,5.26,111.6,101.4,2.91,0.45,2.91,0.77,0.77,0.94,0.17,0.62,53.7,1,1,Xavier,2024,572
Marcus Hernandez,Murray State,WCC,SF,6-5,77,196,SR,2021,36,622.1141251459575,43.2023698018026,5.7,2.9,2.3,22.7,0.519,0.355,0.523,0.679,7.1,9.2,19.6,9.7,1.73,0.86,113.4,103.3,0.62,0.19,0.62,0.82,0.82,0.82,0.0,0.61,53.6,1,1,Wichita State,2021,573
Luka Wilson,Boise State,Horizon,G,6-5,77,197,R-FR,2023,35,610.445275672902,43.603233976635856,3.5,2.5,1.7,19.8,0.468,0.236,0.298,0.877,4.3,9.9,13.9,14.5,1.68,2.52,119.8,99.2,-0.26,-0.08,-0.26,0.71,0.71,0.86,0.15,0.61,53.7,1,1,Mississippi State,2023,574
Zach Turner,Louisville,MAC,C,6-7,79,155,FR,2021,35,557.6042945624638,39.82887818303313,10.7,5.7,1.2,25.5,0.528,0.37,0.204,0.681,12.0,19.8,10.3,12.0,2.51,3.47,107.2,112.4,-0.37,-0.1,-0.37,0.76,0.76,0.74,-0.02,0.6,53.6,1,1,Georgia,2021,575
Vince Roberts,Iowa State,Horizon,PG,6-3,75,227,R-JR,2021,27,366.6971245845939,33.95343746153647,13.0,2.3,4.1,24.7,0.604,0.308,0.636,0.717,3.4,9.2,34.0,7.0,2.74,3.77,102.0,93.3,1.42,0.26,1.42,0.71,0.71,0.74,0.03,0.59,53.5,1,1,Florida,2021,576
Trevion Lopez,Vanderbilt,Big 12,PF,6-8,80,211,JR,2021,34,231.2126070963917,17.000926992381743,5.5,6.0,1.2,21.4,0.574,0.343,0.073,0.804,12.9,20.4,10.2,9.2,3.15,4.54,110.4,103.7,-0.06,-0.01,-0.06,0.98,0.98,0.96,-0.02,0.59,53.5,1,1,Florida State,2021,577
Derek Scott,Virginia,Big East,C,6-7,79,201,JR,2022,25,458.93740600321877,45.89374060032188,3.1,5.5,1.0,15.5,0.446,0.254,0.35,0.817,9.1,21.3,8.2,8.9,0.7,5.31,116.1,95.2,0.74,0.17,0.74,0.93,0.93,0.86,-0.07,0.58,53.5,1,1,UNLV,2022,578
Isaiah Cook,Illinois,MAC,SG,6-1,73,238,R-JR,2024,24,292.792855296502,30.499255760052293,6.1,2.3,1.5,21.9,0.563,0.189,0.396,0.768,2.8,9.7,12.7,13.7,2.16,1.68,106.6,105.5,2.3,0.34,2.3,0.76,0.76,0.96,0.2,0.58,53.5,1,1,Austin Peay,2024,579
Omar Anderson,Wake Forest,Sun Belt,PG,6-2,74,195,R-JR,2024,25,141.37116657569257,14.137116657569257,7.4,3.2,2.5,23.6,0.544,0.254,0.51,0.687,6.0,11.6,20.6,12.0,1.14,0.94,125.0,97.1,0.25,0.02,0.25,0.72,0.72,0.83,0.11,0.57,53.4,1,1,Nebraska,2024,580
Derek Cooper,Wichita State,Horizon,F,6-7,79,221,R-SO,2020,32,342.72158012364685,26.77512344715991,5.7,5.7,0.6,21.4,0.541,0.275,0.132,0.783,7.3,24.2,4.8,17.0,2.67,0.53,114.9,95.3,-0.34,-0.06,-0.34,0.71,0.71,0.69,-0.02,0.57,53.4,1,1,Richmond,2020,581
Elijah Robinson,Duke,SEC,SG,6-4,76,223,JR,2020,26,489.8479850037614,47.10076778882321,3.4,2.2,0.9,21.7,0.546,0.325,0.396,0.8,4.9,7.2,7.4,20.6,3.86,1.9,125.3,100.1,-2.8,-0.69,-2.8,0.96,0.96,0.96,0.0,0.57,53.4,1,1,Fordham,2020,582
Nick Harris,Kentucky,Big East,C,7-2,86,201,R-JR,2021,37,215.66974199491364,14.572279864521189,3.7,4.1,0.6,18.3,0.545,0.239,0.353,0.625,2.5,20.4,5.3,7.5,1.11,5.54,110.1,92.4,0.27,0.03,0.27,0.93,0.93,0.76,-0.17,0.55,53.3,1,1,Auburn,2021,583
Tyrese White,Fordham,ACC,C,6-10,82,184,SO,2022,18,249.2735922589593,34.621332258188794,7.1,5.1,0.7,16.8,0.509,0.327,0.28,0.824,8.8,19.6,5.6,9.9,1.68,4.18,126.4,99.1,1.54,0.19,1.54,0.94,0.94,0.86,-0.08,0.55,53.3,1,1,Florida,2022,584
Tyrese Hall,Vanderbilt,Ivy,W,6-7,79,174,JR,2023,28,469.941790276439,41.9590884175392,10.9,2.7,0.4,20.8,0.69,0.346,0.123,0.651,8.4,6.7,3.2,14.1,3.57,1.54,111.1,88.0,1.44,0.34,1.44,0.71,0.71,0.94,0.23,0.55,53.3,1,1,Indiana,2023,585
Tyrese Young,SMU,Ivy,PG,6-2,74,189,JR,2020,35,602.0983670557486,43.007026218267754,8.0,1.8,3.0,21.6,0.463,0.345,0.541,0.625,3.0,7.2,25.0,24.1,3.68,2.73,101.3,96.3,0.51,0.15,0.51,0.71,0.71,0.72,0.01,0.54,53.3,1,1,Florida,2020,586
Kevin Martinez,Georgia,AAC,SF,6-6,78,182,JR,2024,26,161.79929984223998,15.557624984830765,10.1,2.6,1.3,19.6,0.496,0.371,0.466,0.646,1.7,12.7,10.7,11.9,2.42,1.06,112.4,113.8,-0.15,-0.01,-0.15,0.83,0.83,0.96,0.13,0.54,53.3,1,1,Florida State,2024,587
Reed Lee,Indiana,SEC,SF,6-3,75,202,JR,2022,37,764.9663003229284,51.68691218398165,8.6,2.7,2.3,21.6,0.534,0.357,0.445,0.641,5.9,9.3,19.3,26.9,2.58,2.42,121.0,92.3,1.19,0.45,1.19,0.96,0.96,0.74,-0.22,0.53,53.2,1,1,Baylor,2022,588
Max Hernandez,Baylor,ACC,SF,6-6,78,178,R-JR,2022,32,149.40709550466931,11.67242933630229,11.1,3.8,1.1,16.7,0.566,0.226,0.219,0.646,9.4,11.5,9.0,14.6,0.9,2.01,103.5,93.2,0.29,0.02,0.29,0.94,0.94,0.94,0.0,0.53,53.2,1,1,Florida State,2022,589
Will Martin,Oregon,Horizon,C,6-9,81,211,R-FR,2022,27,86.4,8.0,8.8,4.7,1.0,18.5,0.542,0.266,0.118,0.756,5.6,20.7,7.9,16.4,1.71,1.72,115.8,102.1,-0.07,-0.0,-0.07,0.71,0.71,0.74,0.03,0.53,53.2,1,1,Nevada,2022,590
Cole Parker,Minnesota,OVC,PG,6-0,72,190,JR,2022,29,92.8,8.0,7.0,0.6,1.0,16.2,0.59,0.233,0.469,0.542,0.2,3.1,8.0,23.3,2.34,3.56,117.7,111.6,-2.62,-0.12,-2.62,0.69,0.69,0.83,0.14,0.52,53.1,1,1,SMU,2022,591
Andrej Walker,Duquesne,Big 12,W,6-5,77,198,R-JR,2021,19,185.54474077645642,24.413781681112688,4.8,2.0,2.2,19.3,0.52,0.334,0.328,0.608,1.9,9.2,18.3,14.9,2.13,0.46,107.4,102.5,0.05,0.0,0.05,0.98,0.98,0.93,-0.05,0.51,53.0,1,1,Murray State,2021,592
Kofi Martinez,Kansas,Big Ten,SF,6-5,77,203,R-SO,2020,29,516.2160367882683,44.501382481747264,5.7,3.9,1.3,10.0,0.561,0.267,0.325,0.797,10.2,11.3,10.9,6.2,3.06,0.95,134.9,93.6,3.24,0.84,3.24,1.0,1.0,0.98,-0.02,0.51,53.1,1,1,Baylor,2020,593
Luke Gonzalez,Stanford,Sun Belt,PG,6-1,73,196,R-FR,2023,23,633.2582052379001,68.83241361281523,6.7,1.6,2.8,21.7,0.474,0.279,0.156,0.761,0.2,8.6,23.6,22.7,2.68,4.29,106.5,91.2,3.75,1.19,3.75,0.72,0.72,0.79,0.07,0.51,53.0,1,1,St. Bonaventure,2023,594
Henry Parker,Penn State,WAC,G,6-2,74,189,R-JR,2020,30,285.3124610656969,23.776038422141404,5.4,2.3,1.7,24.3,0.478,0.421,0.218,0.756,2.1,10.8,14.4,24.0,1.83,1.28,107.8,92.5,0.21,0.03,0.21,0.7,0.7,0.94,0.24,0.51,53.0,1,1,Auburn,2020,595
Nathan Williams,Stanford,SEC,PG,6-2,74,211,SR,2024,25,337.8659355622449,33.78659355622449,4.9,2.4,1.2,15.0,0.575,0.313,0.223,0.677,4.6,8.6,9.9,16.1,2.47,1.79,110.1,102.8,0.46,0.08,0.46,0.96,0.96,0.98,0.02,0.5,53.0,1,1,Florida,2024,596
Flynn Bailey,Auburn,MVC,F,6-6,78,191,JR,2023,30,141.65359466423266,11.80446622201939,12.7,5.2,0.9,25.5,0.47,0.194,0.198,0.804,1.0,28.1,7.3,12.5,2.77,2.23,111.6,104.8,0.13,0.01,0.13,0.79,0.79,0.94,0.15,0.49,52.9,1,1,St. Bonaventure,2023,597
Nathan Scott,Nebraska,CUSA,PG,6-1,73,222,SO,2020,17,196.5504106409617,28.904472153082608,5.7,1.7,2.7,21.2,0.496,0.34,0.318,0.692,1.3,8.0,22.4,13.5,2.47,1.76,108.6,113.6,-1.72,-0.17,-1.72,0.74,0.74,0.71,-0.03,0.49,53.0,1,1,Maryland,2020,598
Andre Wilson,Tennessee,MAC,SF,6-9,81,194,R-JR,2021,31,299.0106806265429,24.113764566656688,1.0,2.8,2.0,14.3,0.497,0.257,0.155,0.721,7.2,8.1,16.4,15.9,2.55,2.18,111.7,107.0,-0.26,-0.04,-0.26,0.76,0.76,0.76,0.0,0.49,53.0,1,1,James Madison,2021,599
Victor Jackson,Butler,MVC,SG,6-5,77,200,JR,2023,26,316.0786773933024,30.392180518586777,3.5,2.0,1.8,21.0,0.531,0.327,0.089,0.63,2.3,8.7,15.2,10.0,1.89,0.1,113.4,104.4,1.52,0.24,1.52,0.79,0.79,0.86,0.07,0.48,52.9,1,1,Duke,2023,600
Owen Harris,Boise State,WCC,F,6-4,76,209,R-FR,2022,22,83.26173393298531,9.461560674202875,7.8,5.4,0.3,23.9,0.493,0.326,0.124,0.626,6.4,23.8,2.9,12.1,1.65,2.14,107.9,90.9,1.96,0.08,1.96,0.82,0.82,0.74,-0.08,0.48,52.9,1,1,Georgetown,2022,601
